round	clue_value	daily_double_value	category	comments	question	answer	air_date	notes
2	800	0	TOUGH 7-LETTER WORDS		There's a body part in this term for a legislative provision directing funds to specific projects	an earmark	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1200	0	TOUGH 7-LETTER WORDS		Going all the way from A to C, this scientific term means not associated with living organisms	abiotic	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1600	0	TOUGH 7-LETTER WORDS		This murder tool, a thin wire with handles, allows one to get up close & personal when strangulation is the goal	a garrote	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	2000	0	TOUGH 7-LETTER WORDS		\"U" do this & you howl like a wolf or hoot like an owl	ululate	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	400	0	RETIRED		With 23, this NBA team has retired the most uniform numbers, including Kevin Garnett's No. 5 & Larry Bird's No. 33	the Boston Celtics	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	800	0	RETIRED		This Ben & Jerry's flavor, vanilla ice cream with a nutty brittle, was sent up the Amazon river in 1999	Rainforest Crunch	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1200	0	RETIRED		In 1990 Crayola's first group of crayons to be permanently retired included lemon yellow & this "raw" brown	umber	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1600	0	RETIRED		2 of the 3 Space Shuttles that were retired in 2011, ending the 30-year Space Shuttle program	(2 of) Endeavour, Discovery or Atlantis	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	2000	0	RETIRED		Alphabetically, the list of retired hurricane names in the Atlantic runs from Agnes (1972) to this "W"oman (2005)	Wilma	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	400	0	MISHEARD LYRICS		This Beatles song has a lot of levels, but it's "a girl with kaleidoscope eyes" rather than "a girl with colitis goes by\"	\"Lucy In The Sky With Diamonds\"	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	800	0	MISHEARD LYRICS		Many have sung along to the radio, "I left my brains down in" here	Africa	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1200	0	MISHEARD LYRICS		A classic by this singer turns out not to be about a hip minister called "the reverend blue jeans\"	Neil Diamond	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1600	0	MISHEARD LYRICS		We're glad to say that in a 2008 hit, this band did not sing about "dyslexics on fire\"	Kings of Leon	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	2000	0	MISHEARD LYRICS		This Juice Newton plea to a departing lover does not ask, "Just brush my teeth before you leave me, baby\"	\"Just call me angel of the morning\"	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	400	0	LONG TIME		The Era of Good Feelings reigned from 1815 to 1825, more or less lining up with this president's two terms	Monroe	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	800	0	LONG TIME		Arising in Aquitaine in the 10th century, the Pax Dei, which translates as this, aimed to protect pilgrims & others from violence	Peace of God	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1200	0	LONG TIME		The Mesolithic is part of this prehistoric stage of human development, centered on the use of material-specific tools	the Stone Age	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1600	0	LONG TIME		Humanism was an integral part of this period in Europe sometimes said to have ended with Rome's fall in 1527	the Renaissance	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	2000	0	LONG TIME		Mao's Red Guards shut down schools & attacked thinkers during this decade-long period in China's history	the Cultural Revolution	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	400	0	KNOW SEA		This peninsular nation is surrounded by 4 seas, including the Ligurian & the Tyrrhenian	Italy	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	800	6200	KNOW SEA		There are 19 active volcanoes in this sea, including ones on Saba & Montserrat	the Caribbean Sea	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1200	0	KNOW SEA		The Gulf of Finland, bordered by Finland, Russia & Estonia, is an arm of this sea	the Baltic Sea	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
2	1600	0	KNOW SEA		Travel southwest from this country across the Sulu Sea & you'll hit Malaysia	the Philippines	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
3	0	0	LANDMARKS		213 feet wide, this late 18th c. European structure has 5 portals, the middle of which was—at first—for royals only	the Brandenburg Gate	2024-01-01	2023-2024 Second Chance competition week 2, final game 2.
1	200	0	AT THE MUSEUM		The Museum of Fine Arts, Boston has the Sons of Liberty Bowl, produced by this silversmith, along with a portrait of him by Copley	Paul Revere	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	400	0	AT THE MUSEUM		A visit to Philly isn't complete unless you visit the Rodin Museum, home to this statue whose pensive pose you can imitate for photos	The Thinker	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	600	0	AT THE MUSEUM		The former Radium Institute is now a Paris museum where you can see her old chemistry lab, which was decontaminated in 1981	Marie Curie	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	800	0	AT THE MUSEUM		Vienna's Belvedere Museum has several of his "Golden Period" paintings, including "The Kiss\"	Klimt	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	1000	0	AT THE MUSEUM		The Chiswick Table & the Chichester Grille are at this decorative arts museum in London	Victoria and Albert	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	200	0	STOCKS & INVESTMENTS		Munis are one type of these debt securities issued by many governments	(municipal) bonds	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	400	0	STOCKS & INVESTMENTS		Also used in a different type of gambling, this colorful term describes a stock with a history of paying out	a blue chip stock	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	600	0	STOCKS & INVESTMENTS		This alliterative event occurs when a company repurchases its own stock, increasing the value of the remaining shares	a buyback	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	800	0	STOCKS & INVESTMENTS		A rule that halts trading in the case of a sudden decline is called this, like a switch that trips to stop an electric overload	a circuit breaker	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	1000	0	STOCKS & INVESTMENTS		Basic goods like grains, beef & oil are traded as these & usually sold as derivative contracts called futures	commodities	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	200	0	GEOGRAPHY TEST		This river rises in Burgundy about 180 miles southeast of Paris & empties into the English Channel	the Seine	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	400	0	GEOGRAPHY TEST		Viangchan is an alternate spelling of its capital Vientiane	Laos	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	600	0	GEOGRAPHY TEST		It's the country highlighted here	Costa Rica	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	800	0	GEOGRAPHY TEST		This strait named for an explorer separates Tierra del Fuego from mainland South America	Strait of Magellan	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	1000	0	GEOGRAPHY TEST		Cuba is about 90 miles south of the U.S.; this 4,200-square-mile island is about 90 miles south of Cuba	Jamaica	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	200	0	CONCERT TOURS		2023: Her Renaissance Tour	Beyoncé	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	400	0	CONCERT TOURS		1984: A reunion of these brothers for the Victory Tour	The Jackson 5	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	600	0	CONCERT TOURS		2021-2023: He gave us Love on Tour	Harry Styles	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	800	0	CONCERT TOURS		2023: Her Celebration Tour	Madonna	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	1000	0	CONCERT TOURS		2017-2019: He split us up with the ÷ (Divide) Tour	Ed Sheeran	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	200	0	CLOSE ENCOUNTERS		It's the rhyming term for a nonserious close encounter between vehicles	a fender bender	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	400	0	CLOSE ENCOUNTERS		If something is approximately correct, it's "in" this place, like Chase Field	(in) the ballpark	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	600	0	CLOSE ENCOUNTERS		It's a word for a woman's garment that can also mean to go around the edge of an area	to skirt	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	800	0	CLOSE ENCOUNTERS		A decent approximation is "close enough for" this improvisation-based musical genre	jazz	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	1000	0	CLOSE ENCOUNTERS		You get an "A" plus 7 letters in geometry, if you know it describes 2 angles with a common side & vertex; it can also just mean "next to\"	adjacent (angles)	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	200	0	THE CHARLES III KIND		Charles was born on November 14, 1948 at this residence; his sons & grandchildren were born in a hospital	Buckingham Palace	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	400	0	THE CHARLES III KIND		Charles' mother said it was her wish that this woman have the title queen consort; the "consort" part has gone away	Camilla	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	600	0	THE CHARLES III KIND		This actor, who was Charles in "The Crown", says he'd like to ask the king about his experience as a fellow sticky-out-eared man	Josh O'Connor	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	800	2600	THE CHARLES III KIND		Charles' coronation on May 6, 2023 at this location was the first British coronation in 7 decades	Westminster Abbey	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	1000	0	THE CHARLES III KIND		Charles helped design the traditional look of Poundbury in this duchy of his that shares its name with a southwest England county	Cornwall	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	400	0	WHAT'S "NEW"?		It consists of 27 books, from Matthew through Revelation	the New Testament	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	800	0	WHAT'S "NEW"?		Edward Yang's 1985 "Taipei Story" was part of a movement in Taiwanese cinema with the same name as this '50s trend	the new wave	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1200	0	WHAT'S "NEW"?		This deliberately ambiguous language was invented by George Orwell for "1984\"	Newspeak	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1600	0	WHAT'S "NEW"?		This more dance-oriented band was formed by original members of Joy Division	New Order	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	2000	0	WHAT'S "NEW"?		It sounds like the latest fad, but it means using the Gregorian calendar for reckoning dates	New Style	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	400	0	THOSE WHO CELEBRATE		Don't pester your Pagan friends on May 1st; it's Beltane, a Pagan spring festival celebrating this quality of creating life	fertility	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	800	0	THOSE WHO CELEBRATE		Just before a big U.S. holiday, our northern neighbors celebrate Canada Day on this date	July 1st	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1200	0	THOSE WHO CELEBRATE		In 1772 the British sent HMS Gaspee to patrol this bay; Rhode Islanders burned it & now celebrate by burning it again	Narragansett Bay	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1600	0	THOSE WHO CELEBRATE		Constitution Day is also Citizenship Day & DHS celebrates with this ceremony of gaining citizenship for several thousand	naturalization	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	2000	0	THOSE WHO CELEBRATE		Those who follow this religion celebrate Hola Mohalla with pretend fights 1 day after the Hindu festival of Holi	Sikhism	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	400	0	LET'S TALK ASTRONOMY		An astronomical unit, or AU, is the average distance between these 2 bodies, or about 93 million miles	Earth & Sun	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	800	0	LET'S TALK ASTRONOMY		An asterism is a recognizable star pattern that isn't a full constellation, like this familiar one within Cygnus	the Northern Cross	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1200	4800	LET'S TALK ASTRONOMY		When 2 celestial bodies appear close together, they're "in" this, also a part of speech	conjunction	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1600	0	LET'S TALK ASTRONOMY		\"Edgeworth" sometimes precedes another name in the name of this belt of distant objects	the Kuiper Belt	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	2000	0	LET'S TALK ASTRONOMY		This word for when the Moon is between half & full can be pronounced with either a hard or soft "G" sound	gibbous	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	400	0	CHILD PERFORMERS		Darby Camp was Reese Witherspoon's daughter on "Big Little Lies" & had this dog of problematic size in a 2021 movie	Clifford the Big Red Dog	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	800	0	CHILD PERFORMERS		Donnie Dunagan spent 25 years in the Marine Corps, telling no one he'd been the voice of this fawn	Bambi	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1200	0	CHILD PERFORMERS		On this FX series, Keidrich Sellati was Henry, the only Jennings who didn't know the truth about his family	The Americans	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1600	0	CHILD PERFORMERS		In this movie child actor Jonathan Lipnicki told Tom Cruise the human head weighs 8 pounds	Jerry Maguire	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	2000	0	CHILD PERFORMERS		Roman Griffin Davis had a breakout role in this film as a German boy whose imaginary friend is Hitler, played by Taika Waititi	Jojo Rabbit	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	400	0	ALL THE WORLD'S A SHAKESPEARE STAGE		This city of "Hamlet" is on the northeast tip of a Danish island just a few miles across the water from Sweden	Elsinore	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	800	0	ALL THE WORLD'S A SHAKESPEARE STAGE		In Act I of this ordinal play, a ship captain informs Viola, "This is Illyria", which is in the Balkans	Twelfth Night	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1200	0	ALL THE WORLD'S A SHAKESPEARE STAGE		\"Pericles" is partly set in a palace in this ancient Phoenician seaport, now a World Heritage Site in Lebanon	Tyre	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1600	1400	ALL THE WORLD'S A SHAKESPEARE STAGE		\"The Winter's Tale" alternates between Sicily & this Czech region that gave us a word for an unorthodox, often arty person	Bohemia	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	2000	0	ALL THE WORLD'S A SHAKESPEARE STAGE		This wood in eastern Scotland is about 12 miles from the peak of Dunsinane, to which it "comes" in "Macbeth\"	Birnam Wood	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	400	0	HISTORIC LASTS		At a Marseilles prison in 1977, Hamida Djandoubi became the last person executed using this	the guillotine	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	800	0	HISTORIC LASTS		Designed for parades, the 1939 Packard Super 8 Phaeton was the last car that this Argentine heroine rode in in public	Eva Perón	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1200	0	HISTORIC LASTS		The "Angel of Rome", Alessandro Moreschi, who died in 1922, was the last of these singers, many "sold" by poor parents	castrati	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	1600	0	HISTORIC LASTS		Dying in 1914, Martha was the last of these alliterative birds; a monument to them said, "It died due to avarice of man\"	the passenger pigeon	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
2	2000	0	HISTORIC LASTS		Rome put Carthage on the mat for the final time with the third of these wars in a campaign that lasted from 149 to 146 B.C.	the Punic Wars	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
3	0	0	LANDMARKS		During Pope John Paul II's 1987 visit to Los Angeles, pranksters covered up this letter in a local landmark	L	2024-01-02	2023-2024 Second Chance competition week 3, semifinal game 1.
1	200	0	JOHN GREEN	(Ken: We start out with some clues presented by...)	(John Green presents the clue.) I co-created Crash Course which offers hundreds of free educational videos on YouTube; in one video, I discuss this female poet from New England, just a bit obsessed with death, who began a poem, "I heard a fly buzz when I died\"	Emily Dickinson	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	400	0	JOHN GREEN	(Ken: We start out with some clues presented by...)	(John Green presents the clue.) Two books that I often recommend & that inspired me to write for teens are "Speak" by Laurie Halse Anderson & one by Walter Dean Myers; Steve is on trial for murder, but is he really this, the title of the book?	a monster	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	600	0	JOHN GREEN	(Ken: We start out with some clues presented by...)	(John Green presents the clue.) In my podcast "The Anthropocene Reviewed", I review very different human-centered facets of our world, including prom, the plague & this keyboard, named for a series of 6 letters on the left	QWERTY	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	800	0	JOHN GREEN	(Ken: We start out with some clues presented by...)	(John Green presents the clue.) In "The Grass", part two of my novel "Paper Towns", a copy of "Leaves of Grass" by this poet may hold clues to Margot & her whereabouts	Walt Whitman	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	1000	0	JOHN GREEN	(Ken: We start out with some clues presented by...)	(John Green presents the clue.) In my first novel, "Looking for Alaska", Miles "Pudge" Halter has an obsession with famous last words; my favorite are those of this Irish writer in 1900, something to the effect of, "Either this wallpaper goes, or I do\"	Wilde	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	200	0	TV CONNECTIONS		L.A. ____ & Order	Law	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	400	0	TV CONNECTIONS		In the Heat of the ____ Court	Night	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	600	0	TV CONNECTIONS		Modern _____ Is Blind	Love	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	800	0	TV CONNECTIONS		Orphan ____ Mirror	Black	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	1000	0	TV CONNECTIONS		Ash vs. Evil ____ Ringers	Dead	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	200	0	WHERE'D YOU GO?		Three generations of the d'Aluye family were on these expeditions to the Holy Lands; the effigy of one shows him in armor with praying hands	the Crusades	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	400	0	WHERE'D YOU GO?		The departure of the Israelites from Egypt is fittingly covered in this second book of the Torah	Exodus	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	600	0	WHERE'D YOU GO?		This "Great" northward move by Black Americans ramped up with the need for industrial workers in World War I	the Great Migration	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	800	0	WHERE'D YOU GO?		Back in the 1880s Wellesley College specified this type of leave from teaching should be spent in Europe, with 1/2-year pay	a sabbatical	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	1000	1600	WHERE'D YOU GO?		This term for a trip taken by a politician at public expense can also be used for a P.R. event for a film or TV show	junket	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	200	0	____ & ____ BUSINESS		On its website, it boasts of being "the Internet's largest bookstore\"	Barnes & Noble	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	400	0	____ & ____ BUSINESS		This root beer has been around since 1919 & offers "float how-tos" & "float recipes\"	A&W	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	600	0	____ & ____ BUSINESS		This company's dizzying array of brands includes Old Spice, Pepto Bismol, Gillette & Cascade	Procter & Gamble	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	800	0	____ & ____ BUSINESS		The Black Eyed Peas song "My Humps" mentions this upscale fashion brand, then Fendi & Donna Karan	Dolce & Gabbana	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	1000	0	____ & ____ BUSINESS		This jeweler bears the last names of a married couple, the son of a diamond broker & the daughter of a dealer in precious stones	Van Cleef & Arpels	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	200	0	BIG & LITTLE GEOGRAPHY		Named for a hometown general, MacArthur Park in this Arkansas city contains his birthplace	Little Rock	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	400	0	BIG & LITTLE GEOGRAPHY		Little & Big Diomede islands are found in this strait that separates the U.S. & Russia	the Bering Strait	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	600	0	BIG & LITTLE GEOGRAPHY		Julia Pfeiffer Burns State Park lies within this scenic California region that's just south of Monterey	Big Sur	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	800	0	BIG & LITTLE GEOGRAPHY		Thought to have been used by Hannibal, Little Saint Bernard Pass lies between the Graian Alps & this 15,800-foot French-Italian peak	Mont Blanc	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
1	1000	0	BIG & LITTLE GEOGRAPHY		Big Cypress National Preserve abuts this more expansive national park in Florida	the Everglades	2024-01-03	2023-2024 Second Chance competition week 3, semifinal game 2.
